1-8	Acyclovir
10981-9	Clonidine; Urine
10982-7	Demeclocycline
10983-5	Norparamethadione
10984-3	Dicloxacillin
10985-0	Doxapram
10986-8	Doxycycline
10987-6	Fluconazole
10988-4	Fluvoxamine
10989-2	Itraconazole
109-9	Cefotaxime
10990-0	Ketoconazole
1099-1	Anti-Kp(a)
10991-8	Metronidazole
10992-6	Norclozapine
10993-4	Nafcillin
10994-2	Naltrexone
10995-9	Neomycin
10996-7	Normeperidine
10997-5	O-Desmethylencainide
10998-3	Oxycodone; Urine
10999-1	Paramethadione
11000-7	Promethazine; Urine
11001-5	Pyrazinamide
11002-3	Scopolamine; Urine
11003-1	Ticlopidine
11004-9	Tricyclic Antidepressants; Urine
11005-6	Trimethoprim
11006-4	Borrelia burgdorferi antibody
11007-2	Borrelia burgdorferi antigen
11008-0	Cytomegalovirus antibody IgG
11009-8	Epstein-Barr virus Capsid antibody IgG
11010-6	Epstein-Barr virus Capsid antibody IgM
11011-4	Hepatitis C virus RNA
11012-2	Reovirus antibody
11013-0	DNA Double Strand antibody
11014-8	Growth Hormone [GH] antibody
11015-5	Growth Hormone [GH] Binding Protein
11016-3	Microscopic Examination
11017-1	Microscopic Examination
11018-9	Microscopic Examination
11019-7	Microscopic Examination
11020-5	Microscopic Examination
11021-3	Microscopic Examination
11022-1	Barbiturates; Mecnonium
1102-3	Kp(a) antigen
11023-9	Benzodiazepines; Mecnonium
11024-7	Benzodiazepines
11025-4	Methadone; Mecnonium
11026-2	Methaqualone; Mecnonium
11027-0	Propoxyphene; Mecnonium
11028-8	Zinc; Fluid
11029-6	Consistency
11030-4	Aspergillus fumigatus +  Aspergillus niger IgE
11031-2	Lymphocytes/100 Leukocytes; Fluid
11032-0	Glucose 45m Post 50 g Lactose PO
11033-8	Thyroid Stimulating Hormone [TSH] 45m Post Dose Thyroid Releasing Hormone [TRH] IV
11034-6	Acetylcholine Receptor Binding antibody
11035-3	Adenylate Kinase; RBC
11037-9	Alpha-N-Acetylgalactosaminidase
11038-7	Vitamin E Beta Gamma
11039-5	C Reactive Protein
11040-3	Cortisol Free; Urine
11041-1	Creatinine Post Dialysis
11042-9	Creatinine Pre Dialysis
11043-7	Cryofibrinogen
11044-5	Diphosphoglycerate Mutase; RBC
11045-2	Enolase; RBC
11046-0	Epinephrine; Urine
11047-8	Glucose Phosphate Isomerase; RBC
11048-6	Glyceraldehyde 3 Phosphate Dehydrogenase; RBC
11050-2	Light Chains Kappa
11051-0	Light Chains Lambda
11052-8	Ketamine; Urine
11053-6	Lactate Dehydrogenase; RBC
11054-4	Cholesterol In LDL/Cholesterol In HDL Ratio
11055-1	Melatonin
1105-6	Anti-Kp(b)
11056-9	Melatonin; 24h Urine
11057-7	Monophosphoglyceromutase; RBC
11058-5	Phosphofructokinase; RBC
11059-3	Phosphoglycerate Kinase; RBC
11060-1	Reducing Substances; Stool
11061-9	Thromboxane Beta 2; 24h Urine
11062-7	Thyroxine Albumin Bound
11063-5	Triosephosphate Isomerase; RBC
11064-3	Urea Nitrogen Post Dialysis
11065-0	Urea Nitrogen Pre Dialysis
11066-8	Uroporphyrinogen III Synthase; RBC
11067-6	Bleeding Time
11068-4	Microscopic Examination
11069-2	Microscopic Examination
110-7	Cefotaxime; Isolate+Ser
11070-0	Microscopic Examination
11071-8	Butalbital; Urine
11072-6	Despropionylfentanyl
11073-4	Despropionylfentanyl; Urine
11074-2	Norfentanyl
11075-9	Norfentanyl; Urine
11076-7	Hepatitis C virus 5-1-1 antibody
11077-5	Hepatitis C virus Superoxide Dismutase antibody
11078-3	HIV 2 GP80 antibody
11079-1	HIV 2 P26 antibody
1108-0	Kp(b) antigen
11080-9	HIV 2 P53 antibody
11081-7	HIV 2 P56 antibody
11082-5	HIV 2 P68 antibody
11083-3	Human papilloma virus
11084-1	Reagin antibody
11085-8	Schistosoma species
11086-6	Streptococcus pneumoniae antigen
11087-4	Insulin antibody
11088-2	Neuronal Nuclear antibody
11089-0	Neuronal Nuclear antibody; CSF
11090-8	Smith Extractable Nuclear antibody
11091-6	Alpha Chlordane
11092-4	Barbiturates; Hair
11093-2	Dichlorodiphenyldichloroethylene
11094-0	Dichlorodiphenyltrichloroethane
11095-7	Dieldrin
11096-5	Gamma Chlordane
11097-3	Lindane
11098-1	Malaoxon
11099-9	Methoxychlor
11100-5	Tetrachloroethylene; Blood
11101-3	Culture
11102-1	Charcot-Leyden Crystals
11103-9	Band Neutrophils/100 Cells; Bone Marrow
11104-7	Normoblasts Basophilic/100 Cells; Bone Marrow
11105-4	Basophils/100 Cells; Bone Marrow
11106-2	Eosinophils/100 Cells; Bone Marrow
11107-0	Lymphocytes Atypical/100 Cells; Bone Marrow
11108-8	Lymphocytes/100 Cells; Bone Marrow
11109-6	Mast Cells/100 Cells; Bone Marrow
11110-4	Megakaryocytes/100 Cells; Bone Marrow
11111-2	Metamyelocytes/100 Cells; Bone Marrow
11112-0	Monocytes/100 Cells; Bone Marrow
11113-8	Myeloblasts/100 Cells; Bone Marrow
11114-6	Myelocytes/100 Cells; Bone Marrow
11115-3	Neutrophils/100 Cells; Bone Marrow
11116-1	Normoblasts Orthochromic/100 Cells; Bone Marrow
11117-9	Plasma Cells Immature/100 Cells; Bone Marrow
11118-7	Plasma Cells/100 Cells; Bone Marrow
11119-5	Normoblasts Polychromatophilic/100 Cells; Bone Marrow
11120-3	Promyelocytes/100 Cells; Bone Marrow
11121-1	Prolymphocytes/100 Cells; Bone Marrow
1112-2	Anti-Le(a)
11122-9	Promonocytes/100 Cells; Bone Marrow
11124-5	Pronormoblasts/100 Cells; Bone Marrow
11125-2	Platelets; Blood
11126-0	Platelets; Bone Marrow
11127-8	Erythrocytes; Bone Marrow
11128-6	Neutrophils Segmented/100 Cells; Bone Marrow
11129-4	Pronormoblasts; Blood
11130-2	B Lymphocytes; Blood
11133-6	Catecholamines Free; Urine
11134-4	Appearance; Fluid
11135-1	Appearance; CSF
11138-5	Myeloid Cells/Erythroid Cells; Bone Marrow
11139-3	Metanephrine; Urine
11140-1	Metanephrine; 24h Urine
11141-9	Phosphate/Creatinine Ratio; Urine
11142-7	Glucose 15m Post 100 g Glucose PO
11143-5	Glucose 45m Post 100 g Glucose PO
11144-3	Homovanillate; Urine
11145-0	5-Hydroxyindoleacetate/Creatinine Ratio; Urine
11146-8	Homovanillate/Creatinine Ratio; Urine
11147-6	Myoglobin/Creatinine Ratio; Urine
11148-4	Potassium/Creatinine Ratio; Urine
11149-2	Sodium/Creatinine Ratio; Urine
111-5	Cefotetan
11150-0	Blasts/100 Cells; Bone Marrow
11151-8	Hematocrit; BloodCo
11152-6	Eosinophils/100 Cells; Bone Marrow
11153-4	Hematocrit; Fluid
11154-2	Cholinesterase; Blood
1115-5	Le(a) antigen
11155-9	Cortisol/Creatinine Ratio; Urine
11156-7	Leukocytes; Blood
11157-5	Leukocytes; Bone Marrow
11158-3	Appearance
11159-1	Alkalase IgE
11160-9	Beta Lactoglobulin IgG
11161-7	Wheat Bran IgE
11163-3	Carageenan IgE
11164-1	Cream Cheese IgE
11165-8	Chinchilla IgE
11166-6	Chortoglyphus arcuatus IgE
11167-4	Cockatiel Feather IgE
11168-2	Arizona Cypress IgE
11169-0	Deer Hair IgE
11170-8	Dematiaceae IgE
11171-6	Erythromycin IgE
11172-4	Ferret Epithelium IgE
11173-2	Fig IgE
11174-0	Grain Weevel IgE
11175-7	Helminthosporium sativum IgE
11176-5	Alpha Lactalbumin IgG
11177-3	Beta Lactalbumin IgE
11178-1	Beta Galactosidase IgE
11179-9	Linden IgE
11180-7	Lupin IgE
11181-5	Lycopodium IgE
11182-3	Lysozyme IgE
11183-1	Macadamia IgE
11184-9	Scad IgE
11185-6	Maxatase IgE
11186-4	Foxtail Millet IgE
11187-2	Penicillium frequentans IgE
11188-0	Cayenne IgE
1118-9	Anti-Le(b)
11189-8	Jalepeno Pepper IgE
11190-6	Mint IgE
11191-4	Pollock IgE
11192-2	Protamine IgE
11193-0	Pumpkin Seed IgE
11194-8	Rape Pollen IgE
11195-5	Rapeseed IgE
11196-3	Orange Roughy IgE
11197-1	Sardine IgE
11198-9	Shark IgE
11199-7	Silver IgE
11200-3	Escargot IgE
11201-1	Succinylcholine IgE
11202-9	Tarragon IgE
11203-7	Trichosporon pullulans IgE
11204-5	Ulocladium chartarum IgE
11206-0	18-Hydroxydeoxycorticosterone
11207-8	Alpha-1-Fetoprotein; Fluid
11208-6	Atrial Natriuretic Factor
11209-4	Beta Glucuronidase; CSF
11210-2	Cancer Antigen 125; Fluid
11211-0	Carbon Dioxide; Fluid
11212-8	Coproporphyrin; Urine
1121-3	Le(b) antigen
11213-6	Corticotropin Releasing Hormone [CRH]
11214-4	Creatinine; Urine
11215-1	Delta Aminolevulinate; Urine
11216-9	Deoxypyridinoline; Urine
11217-7	Hexaporphyrin; 24h Urine
11218-5	Albumin; Urine
11219-3	Light Chains
11220-1	Iodine Free; 24h Urine
11221-9	Pentacarboxylporphyrins; Urine
11222-7	Pentacarboxylporphyrins; Urine
11224-3	Phosphoethanolamine; CSF
11225-0	Porphyrins; Urine
11226-8	Prorenin
11227-6	Pyruvate Kinase; Blood
11228-4	Uroporphyrin; Urine
11229-2	3-O-Methyldopa
112-3	Cefotetan
11230-0	Amobarbital; Urine
11231-8	Astemizole
11232-6	Bromocriptine
11233-4	Brompheniramine
11234-2	Propoxyphene; Hair
11235-9	Fentanyl; Urine
11236-7	Gemfibrozil
11237-5	Hydralazine
11238-3	Hydroxyalprazolam; Urine
11240-9	Hydroxyzine; Urine
11241-7	Hyoscyamine
11242-5	Mercaptopurine
11243-3	Methadone; Hair
11244-1	Morphine Free
11246-6	Oxycodone; Urine
1124-7	Anti-Le(x)
11247-4	Oxymorphone; Urine
11248-2	Pergolide
11249-0	Phenacemide
11250-8	Phenylethylmalonate
11251-6	Piroxicam
11252-4	Scopolamine
11253-2	Tacrolimus; Blood
11254-0	Chlamydophila pneumoniae antibody
11255-7	Haemophilus ducreyi
11256-5	Haemophilus influenzae B antibody IgG
11257-3	Haemophilus influenzae B antibody IgG
11258-1	Hepatitis B virus DNA
11259-9	Hepatitis C virus RNA
11260-7	HTLV 1 antibody
11261-5	Culture
11262-3	Parainfluenza virus 3 antibody IgG
11263-1	Parainfluenza virus 3 antibody IgM
11264-9	Salmonella paratyphi A antibody
11265-6	Salmonella paratyphi B antibody
11266-4	Streptococcus agalactiae antigen
11267-2	Streptococcus beta-hemolytic
11268-0	Streptococcus pyogenes
11269-8	Streptococcus pyogenes antigen
11270-6	Viral Inclusion Bodies
11271-4	Hematocrit; BloodCo
11272-2	Mean Corpuscular Volume; BloodCo
11273-0	Erythrocytes; Blood
11274-8	Elliptocytes; Blood
11275-5	Lymphocytes Large Granular/100 Leukocytes; Blood
11276-3	Tubular Cells
11277-1	Squamous Cells
11278-9	Bladder Cells
11279-7	Urinalysis Comments
11280-5	Cabot Rings; Blood
11281-3	Auer Rods; Blood
11282-1	Total Cells Counted; Blood
11283-9	Acuity Assessment
11284-7	Acuity Assessment; Practitioner Identification
11285-4	Acuity Assessment; Practitioner Profession
113-1	Cefotetan
1132-0	Lewis phenotype
11329-0	History General
1135-3	Anti-Lu(a)
11368-8	Illness/injury Onset Date/Time
1138-7	Lu(a) antigen
11401-7	Physical findings
1141-1	Anti-Lu(a+b+)
1144-5	Anti-Lu(b)
11449-6	Pregnancy status
11450-4	Problem list
11467-8	Bacillus anthracis antibody
11468-6	Bacillus anthracis antibody
11469-4	Bacillus anthracis
11470-2	Clostridium botulinum toxin
11471-0	Cryptococcus neoformans antigen
11472-8	Cryptococcus neoformans antigen
11473-6	Cryptococcus species antigen
11474-4	Hydatid Cyst
11476-9	Microscopic Examination
11477-7	Microscopic Examination
1147-8	Lu(b) antigen
11478-5	Microscopic Examination
11479-3	Microscopic Examination
11480-1	Microscopic Examination
11481-9	Human papilloma virus
11482-7	Rickettsia rickettsii RNA
11483-5	Varicella-zoster virus DNA
11484-3	virus; Amniotic Fluid
114-9	Cefotetan; Isolate+Ser
1150-2	Anti-Lu(a)
11502-2	Laboratory Report
11513-9	Provider; Signing
11530-3	Surgeon; Assisting
11531-1	Surgeon; Resident
11532-9	Surgeon; Staff
11533-7	Surgical Drains
1153-6	Lutheran Phenotype
11537-8	Surgical Drains
11545-1	Microscopic Examination
11546-9	Microscopic Examination
11550-1	Borrelia burgdorferi
11551-9	Borrelia burgdorferi DNA
11552-7	Microscopic Examination
11553-5	Microscopic Examination
11555-0	Base Excess; Blood
11556-8	Oxygen; Blood
11557-6	Carbon Dioxide; Blood
11558-4	pH; Blood
11559-2	Oxyhemoglobin/Total Hemoglobin Ratio; Blood
115-6	Cefoxitin
11560-0	Acetylcholine Receptor Binding antibody
11561-8	Acetylcholine Receptor Blocking antibody
11562-6	Acetylcholine Receptor Modulation antibody
11564-2	Intrinsic Factor antibody
11565-9	Jo-1 Extractable Nuclear antibody
11566-7	Liver Kidney Microsomal antibody
11568-3	Phosphatidylserine antibody IgG
1156-9	Anti-c
11569-1	Phosphatidylserine antibody IgM
11570-9	Platelet antibody IgG
11571-7	Rheumatoid Arthritis Nuclear antibody
11572-5	Rheumatoid Factor
11573-3	Rheumatoid Factor IgM
11575-8	Cefmetazole
11576-6	Erythromycin + Sulfisoxazole
11577-4	Sulfamethoxazole
11578-2	Sulfisoxazole
11579-0	Thyroid Stimulating Hormone [TSH]
11580-8	Thyroid Stimulating Hormone [TSH]
11581-6	Ebola virus antibody
11582-4	Wuchereria bancrofti antibody
11583-2	Aspergillus fumigatus 1 antibody
11584-0	Aureobasidium pullulans antibody
11585-7	Bordetella pertussis antibody
11586-5	Brucella abortus antibody
11587-3	Brucella canis antibody
11588-1	Brucella melitensis antibody
11589-9	Brucella suis antibody
11590-7	Coxsackievirus A10 antibody
11591-5	Coxsackievirus A2 antibody
11592-3	Aspergillus fumigatus 6 antibody
1159-3	c antigen
11593-1	Coxsackievirus A4 antibody
11594-9	Echovirus 16 antibody
11595-6	Echovirus 18 antibody
11596-4	Shigella dysenteriae antibody
11597-2	Treponema pallidum antibody
11598-0	Toxoplasma gondii antibody
11599-8	Coxsackievirus A21 antibody
11600-4	Shigella flexneri antibody
11601-2	Echovirus 7 antibody
11602-0	Shigella boydii antibody
11603-8	Salmonella species antibody
11604-6	Burkholderia pseudomallei antibody
11605-3	Lymphocytic Choriomeningitis virus antibody
11606-1	Leptospira interrogans antibody
11607-9	Junin virus antibody
11608-7	Japanese Encephalitis virus antibody
11609-5	HTLV 1 antibody
11610-3	Heterophile antibody
11611-1	Shigella sonnei antibody
11612-9	Abortions
11613-7	Abortions.induced
11614-5	Abortions.spontaneous
11615-2	Activity
11616-0	Activity
11617-8	Activity
11618-6	Activity
11619-4	Activity
11620-2	Activity
11621-0	Activity
11622-8	Activity
11623-6	Amniotic fluid index; Am Fluid space.quadrant four fetus
11624-4	Amniotic fluid index; Am Fluid space.quadrant one fetus
11625-1	Amniotic fluid index; Am Fluid space.quadrant three fetus
11626-9	Amniotic fluid index; Am Fluid space.quadrant two fetus
1162-7	Anti-e
11627-7	Amniotic fluid index.sum; Am Fluid space fetus
11628-5	Binocular distance
11629-3	Binocular Distance
11630-1	Biophysical profile.amniotic fluid volume
11631-9	Biophysical profile.body movement
11632-7	Biophysical profile.breathing movement
11633-5	Biophysical profile.heart rate reactivity
11634-3	Biophysical profile.sum
11635-0	Biophysical profile.tone
11636-8	Births Live
11637-6	Births Preterm
11638-4	Births Still Living
11639-2	Births Term
116-4	Cefoxitin
11640-0	Births Total
11641-8	Blood flow.diastolic.atrial wave.max
11642-6	Blood flow.diastolic.atrial wave.max
11643-4	Blood flow.diastolic.atrial wave.max
11644-2	Blood flow.diastolic.atrial wave.max
11645-9	Blood flow.diastolic.early wave.max
11646-7	Blood flow.diastolic.early wave.max
11647-5	Blood flow.diastolic.early wave.max
11648-3	Blood flow.diastolic.early wave.max
11649-1	Blood flow.diastolic.early wave/Atrial wave ratio
1165-0	e antigen
11650-9	Blood flow.diastolic.early wave/Atrial wave ratio
11651-7	Blood flow.diastolic.early wave/Atrial wave ratio
11652-5	Blood flow.diastolic.early wave/Atrial wave ratio
11653-3	Blood flow.diastolic.end
11654-1	Blood flow.diastolic.min
11655-8	Blood flow.diastolic.min
11656-6	Blood flow.diastolic.min
11657-4	Blood flow.diastolic.min
11658-2	Blood flow.diastolic.min
11659-0	Blood flow.diastolic.min
11660-8	Blood flow.diastolic.min
11661-6	Blood flow.diastolic.min
11662-4	Blood flow.diastolic.min
11663-2	Blood flow.diastolic.min
11664-0	Blood flow.diastolic.min
11665-7	Blood flow.diastolic.min
11666-5	Blood flow.mean
11667-3	Blood flow.mean
11668-1	Blood flow.mean
11669-9	Blood flow.mean
11670-7	Blood flow.mean
11671-5	Blood flow.mean
11672-3	Blood flow.mean
11673-1	Blood flow.mean
11674-9	Blood flow.mean
11675-6	Blood flow.mean
11676-4	Blood flow.mean
11677-2	Blood flow.mean
11678-0	Blood flow.mean
11679-8	Blood flow.mean
11680-6	Blood flow.mean
11681-4	Blood flow.mean
11682-2	Blood flow.mean
11683-0	Blood flow.mean
1168-4	Anti-f
11684-8	Blood flow.mean
11685-5	Blood flow.mean
11686-3	Blood flow.mean
11687-1	Blood flow.mean
11688-9	Blood flow.mean
11689-7	Blood flow.mean
11690-5	Blood flow.mean
11691-3	Blood flow.mean
11692-1	Blood flow.mean.max
11693-9	Blood flow.systolic.max
11694-7	Blood flow.systolic.max
11695-4	Blood flow.systolic.max
11696-2	Blood flow.systolic.max
11697-0	Blood flow.systolic.max
11698-8	Blood flow.systolic.max
11699-6	Blood flow.systolic.max
11700-2	Blood flow.systolic.max
11701-0	Blood flow.systolic.max
11702-8	Blood flow.systolic.max
11703-6	Blood flow.systolic.max
11704-4	Blood flow.systolic.max
11705-1	Blood flow.systolic.max
11706-9	Blood flow.systolic.max
11707-7	Blood flow.systolic.max
11708-5	Blood flow.systolic.max
11709-3	Blood flow.systolic.max
11710-1	Blood flow.systolic.max
11711-9	Blood flow.systolic.max
11712-7	Blood flow.systolic.max
11713-5	Blood flow.systolic.max
11714-3	Blood flow.systolic.max
11715-0	Blood flow.systolic.max
11716-8	Blood flow.systolic.max
11717-6	Blood flow.systolic.max
1171-8	f antigen
11718-4	Blood flow.systolic.max
11719-2	Blood flow.systolic.max
117-2	Cefoxitin
11720-0	Blood flow.systolic.max
11721-8	Blood flow.systolic.max
11722-6	Blood flow.systolic.max
11723-4	Blood flow.systolic.max
11724-2	Blood flow.systolic.max
11725-9	Blood flow.systolic.max
11726-7	Blood flow.systolic.max
11727-5	Body weight
11728-3	Body weight
11729-1	Body weight
11730-9	Body weight
11731-7	Body weight
11732-5	Body weight
11733-3	Body weight
11734-1	Body weight
11735-8	Body weight
11736-6	Body weight
11737-4	Body weight
11738-2	Body weight
11739-0	Body weight
11740-8	Body weight
11741-6	Body weight
11742-4	Body weight
11743-2	Body weight
11744-0	Body weight
11745-7	Body weight
11746-5	Body weight
11747-3	Body weight
11748-1	Body weight
11749-9	Body weight
11750-7	Body weight
11751-5	Body weight
11752-3	Body weight
11753-1	Body weight
11754-9	Body weight
11755-6	Body weight
11756-4	Body weight
11757-2	Body weight
11758-0	Body weight
11759-8	Body weight
11760-6	Body weight
11761-4	Body weight
11762-2	Body weight
11763-0	Body weight
11764-8	Body weight
11765-5	Body weight
11766-3	Body weight percentile
11767-1	Body weight percentile
11768-9	Body weight percentile range
11769-7	Body weight percentile range
11770-5	Body weight.10th
11771-3	Body weight.25th
11772-1	Body weight.50th
11773-9	Body weight.75th
11774-7	Body weight.90th
11775-4	Citation
11776-2	Citation
11777-0	Cross section
11778-8	Delivery date
11779-6	Delivery date
11780-4	Delivery date
11781-2	Delivery date
11782-0	Diameter
11783-8	Diameter
11784-6	Diameter
11785-3	Diameter
11786-1	Diameter
11787-9	Diameter
11788-7	Diameter
11789-5	Diameter
11790-3	Diameter
11791-1	Diameter
11792-9	Diameter
11793-7	Diameter
11794-5	Diameter
11795-2	Diameter
11796-0	Diameter
11797-8	Diameter
11798-6	Diameter
11799-4	Diameter
118-0	Cefoxitin; Isolate+Ser
11800-0	Diameter
11801-8	Diameter
11802-6	Diameter
11803-4	Diameter
11804-2	Diameter
11805-9	Diameter
11806-7	Diameter
11807-5	Diameter
11808-3	Diameter
11809-1	Diameter
11810-9	Diameter
11811-7	Diameter
11812-5	Diameter
11813-3	Diameter
11814-1	Diameter
11815-8	Diameter
11816-6	Diameter
11817-4	Diameter product.largest pocket; Am Fluid space fetus
11818-2	Diameter.anterior-posterior
11819-0	Diameter.anterior-posterior
11820-8	Diameter Biparietal
11821-6	Diameter Biparietal Mean
11822-4	Diameter Biparietal Mean
11823-2	Diameter Biparietal/Diameter Occipital
11824-0	Diameter BPD Area-Corrected
11825-7	Diameter.hilum-cortex
11826-5	Diameter.hilum-cortex
11827-3	Diameter.hilum-cortex
11828-1	Diameter.hilum-cortex
11829-9	Diameter.hilum-cortex
11830-7	Diameter.hilum-cortex
11831-5	Diameter.hilum-cortex.mean
11832-3	Diameter.largest pocket.max; Am Fluid space fetus
11833-1	Diameter.largest pocket.mean; Am Fluid space fetus
11834-9	Diameter.long
11835-6	Diameter.long
11836-4	Diameter.long
11837-2	Diameter.long
11838-0	Diameter.long
11839-8	Diameter.long
11840-6	Diameter.long
11841-4	Diameter.long
11842-2	Diameter.long
11843-0	Diameter.long.mean
11844-8	Diameter.long.mean
11845-5	Diameter.long.mean
11846-3	Diameter.max
11847-1	Diameter.max
11848-9	Diameter.max
11849-7	Diameter.mean
11850-5	Diameter.mean
11851-3	Diameter.occipito-frontal
11852-1	Diameter.outer to outer
11853-9	Diameter.perpendicular
11854-7	Diameter.perpendicular
11855-4	Diameter.perpendicular
11856-2	Diameter.perpendicular
11857-0	Diameter.perpendicular
11858-8	Diameter.perpendicular
11859-6	Diameter.perpendicular
11860-4	Diameter.sagittal
11861-2	Diameter.sagittal.mean
11862-0	Diameter.transverse
11863-8	Diameter.transverse
11864-6	Diameter.transverse
11865-3	Diameter.transverse
1186-6	Anti-i
